State,Beds_per_thousand
Bihar,0.1154574011
Jharkhand,0.326906754
Chhattisgarh,0.3684478372
Uttar Pradesh,0.3816587592
Madhya Pradesh,0.3970837292
Odisha,0.4412016963
Haryana,0.4433750148
Maharashtra,0.4578105256
Rajasthan ,0.4646087413
Andhra Pradesh,0.4716554212
Manipur,0.4996498599
Gujarat,0.5340833885
Assam,0.549317439
Telangana,0.5906710956
Punjab,0.6463972894
Chandigarh,0.7374407583
Uttarakhand,0.843942098
West Bengal ,0.8607520049
Jammu and Kashmir,0.9290327725
Nagaland,0.9499747347
Daman and Diu,0.987654321
Tamil Nadu,1.074639278
Kerala,1.137639945
Karnataka,1.148457321
Tripura,1.2022319
Delhi,1.452406481
Meghalaya,1.502190765
Dadra and Nagar Haveli ,1.712209302
Arunachal Pradesh,1.73699422
Himachal Pradesh,1.80611799
Mizoram,1.820419325
Goa,2.065113091
Sikkim,2.553191489
Andaman and Nicobar Island,2.82152231
Puducherry,2.859775641
Lakshadweep,4.6875
