State,CFR
Punjab,2.722270682635809
Uttarakhand,2.1514795802161992
Maharashtra,2.1089372701126217
Nagaland,2.0304744715560026
Goa,1.8386262602783507
Delhi,1.744647326238193
Andaman and Nicobar Islands,1.7090620031796504
Meghalaya,1.6984620676804885
Himachal Pradesh,1.6954596004141582
Manipur,1.5783882227955686
Puducherry,1.478245158747105
Jharkhand,1.4765139304628137
Jammu and Kashmir,1.36071704087418
Chhattisgarh,1.3498698368276065
Uttar Pradesh,1.3327972884085553
Tamil Nadu,1.3325035961739036
Bihar,1.3299709491106182
Madhya Pradesh,1.3275587767367862
Chandigarh,1.3082333204284424
Sikkim,1.2706117495895497
Karnataka,1.2614646313704425
Haryana,1.2533209369002511
Gujarat,1.221328711587291
West Bengal,1.1890561492222471
Ladakh,1.0141590318945666
Tripura,0.9583436647656831
Assam,0.9407288739544806
Rajasthan,0.9387210371431177
Andhra Pradesh,0.6832622903088986
Odisha,0.6638038335808906
Telangana,0.5890647079355366
Kerala,0.5019665747807242
Lakshadweep,0.4969307220111079
Arunachal Pradesh,0.49007015117083286
Mizoram,0.36917098445595853
Dadra and Nagar Haveli and Daman and Diu,0.03754458419373005
